,id,desc,createTime,url,author,author_id,author_sig
0,6954429869207866630,Using WU to pamper your grandmom from a distance #sponsored #westernunion #mexico #sendingmoney #happymothersday,1619204385,https://v16-webapp.tiktok.com/cdaffeb02e432044488fb7d946604604/621d59ab/video/tos/useast2a/tos-useast2a-ve-0068c003/e53bcbda3aa349a390f840beba69903b/?a=1988&br=2044&bt=1022&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3yCnz7ThF3acDXq&l=202202281723470102452441952640CD50&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=Mzhsajc2bDhrNTMzNzczM0ApOWc4N2Y1ODs7N2Y8NDQ1M2djZGFpZzJnZi5gLS1kMTZzc2EzMC02MGMvNTEyYjEyNi46Yw%3D%3D&vl=&vr=,6780796561486529541,estrada.twins,"✨COMEDY✨here😂
Challenges on YOUTUBE👆🏾
TY for 1.3M
💌Estrada@Carter-Agency.com"
1,6898694698236448005,#greenscreen #attention #cubans #miami #trump #closed #westernunion #in #cuba #he #used #you #gop #doesnt #care #latinos #wontbesilent #foryou #fyp,1606227566,https://v16-webapp.tiktok.com/98a8e45eb883bcb497185e0240692b35/621d59be/video/tos/useast2a/tos-useast2a-ve-0068c002/ef71b1bd3e6a447da1cb9341189d3be4/?a=1988&br=1456&bt=728&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3yCnz7ThF3acDXq&l=202202281723470102452441952640CD50&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajNxbm82Z3BreDMzZDczM0ApOzo4Mzc5aGQ1NzpmOTY8NGdeb24wcnMvYHJfLS1gMTZzc2NgNjQ2YS5iM2NjYi81MTU6Yw%3D%3D&vl=&vr=,6806336946764432389,wontbesilent,"Truth Seeker, Trash Talker, Political Opinionator, Humorist, Podcaster"
2,6932267484628143361,"Puro kayo sa taga #honda , ayaw nyo ba sa taga #WesternUnion ? HAHAHA ✌🏻🤪 ##@jhosajassabraham #foryou #foryoupage #forfun #breaktime",1614044306,https://v16-webapp.tiktok.com/1e74daeb02c52cd61c63dfec80969afd/621d5996/video/tos/alisg/tos-alisg-pve-0037/c7aa2265c4ad4f4ab27f0d1d19488d94/?a=1988&br=2430&bt=1215&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3yCnz7ThF3acDXq&l=202202281723470102452441952640CD50&lr=tiktok&mime_type=video_mp4&net=0&pl=0&qs=0&rc=anN5cDZ2O2Q4MzMzaDgzM0ApODo1MzxoZDtmNzw7Omk0M2dlXzJhM202bG5gLS0yLzRzc18vNDU1LzNeLTAxNmMzLS86Yw%3D%3D&vl=&vr=,6603312217973768194,binker21,Goodvibes only! 🥰
3,7032437349611031813,You sen de Christmus money yet? Jah Jah. Promotion a gwaan. @gkmsonline You can win a porshant ah $2.5 millian!. #WesternUnion #WishesDelivered #nigeriantiktok  #foryoupage #jamaicantiktok #jamaica #jamaicans #caribbeantiktok #caribbean #foryou,1637366916,https://v16-webapp.tiktok.com/7c810121bc77ebac70fe1e7e62afe0b5/621d59bb/video/tos/useast2a/tos-useast2a-pve-0068/5978625c85a84e62bc971a08ea68c54c/?a=1988&br=2058&bt=1029&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3yCnz7ThF3acDXq&l=202202281723470102452441952640CD50&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2d3dGc6ZjQ2OTMzNzczM0ApODhlOWg7Z2RlNzQ1aWRlM2deaDItcjRvamBgLS1kMTZzczJiMjJjLzVhLjYuMjZiNl46Yw%3D%3D&vl=&vr=,6901076482484487173,iamjuliemango,"Actress| LifeCoach| Mental Health Advocate
Sugar & Spice and Everything CHRIST"
4,6909433424344255746,Wer spendet auch?♥️#foryou #fy #fyp #spenden #mutter #sohn #muttersohn #anne #helfen #witzig #viral #bigboss #westernunion #bank #geld #hilfe #fürdich,1608727833,https://v16-webapp.tiktok.com/649f912da11afb466eea577e5e8be006/621d5992/video/tos/alisg/tos-alisg-pve-0037c001/227b5f8394d145ab8edaf4c29487252f/?a=1988&br=5278&bt=2639&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3yCnz7ThF3acDXq&l=202202281723470102452441952640CD50&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2h2dGh0NDdteTMzNzczM0ApO2YzPDRmZmU2N2c7N2llO2dgMGEzXmEzbmVfLS1fMTRzczYuNTVeNC82Yl5gYDI2L2E6Yw%3D%3D&vl=&vr=,6783964138580296709,selami.tv,"High sensitive person 🥰 
lustiger Flugbegleiter👨🏻‍✈️ 
und CEO of Mmm lecker😋"
5,7062079899133250863,Foreign Breaking News before Internet #ww2 #ww1 #telegrams #oldschoolcool #westernunion #breakingnews #transcontinental,1644268609,https://v16-webapp.tiktok.com/82dad8b496d68ac96d07193deca4f9ad/621d59be/video/tos/maliva/tos-maliva-ve-0068c799-us/a0c82b27d4704823a7608931dea17edf/?a=1988&br=1120&bt=560&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3yCnz7ThF3acDXq&l=202202281723470102452441952640CD50&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3VsbDs6ZjdyOzMzZzczNEApN2Y6ZmRmNTs7NzU6NTs4NGc0bzBocjRvai1gLS1kMS9zc18tLS0wMDFhNjNiMV40YTQ6Yw%3D%3D&vl=&vr=,6890291742244029446,spencersny,Full videos @ https://youtube.com/c/SpencerSnyder
6,6978999943763610886,Envía dólares a Venezuela con Western Unión #soyisabelortiz #aprendeentiktok #ganadolares #venezuela #westernunion #buenasbuenas #dineroporinternet,1624925053,https://v16-webapp.tiktok.com/0bfa7468fe383ca67d687352eb9cbefe/621d599a/video/tos/useast2a/tos-useast2a-ve-0068c004/112a3a93b7fc46c791a7476cec7c6dc8/?a=1988&br=1360&bt=680&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3yCnz7ThF3acDXq&l=202202281723470102452441952640CD50&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2ZocWZ0NTQ5NjMzNzczM0ApNDppNzU3OztkNzppPGY5OWcuYzFsMmFgMGFgLS1kMTZzczMwMl5eYy8xNl5iY2MuLTI6Yw%3D%3D&vl=&vr=,6962744935007667205,imisabelortizoficial,"Hablemos por Ig: @imisabeloficial🎁
🔻Aprende, aplica y gana tus primeros $500🔻"
7,6906923416746462470,They think we’re rich #rich #Productivity #VivaCleanHacks #fyp #africa #money #westernunion,1608143444,https://v16-webapp.tiktok.com/b9d3dfecf13a9572275c494b974bc8df/621d598a/video/tos/useast2a/tos-useast2a-ve-0068c002/503e7211a11f4962b2bbe4f9639b8139/?a=1988&br=2876&bt=1438&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3yCnz7ThF3acDXq&l=202202281723470102452441952640CD50&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=anNqdW5yZW44eTMzPDczM0ApZDozNDNnNzw4Nzs5OWRpPGdzLi1panAzMWFfLS1jMTZzc2MxLmJeLTAuMGBeYGI0YzQ6Yw%3D%3D&vl=&vr=,6571215361265451013,esosaomorogbe8,"You can never take my phone away
21
Cashapp: $EsosaOmorogbe
THANKS FOR 100k!!!"
8,6932330364295843073,"Wag puro #honda , remittance naman.  ✌🏻🤣🤗 #foryou #foryoupage #WesternUnion #forfun #breaktime #fyp @jhosajassabraham #bang",1614058944,https://v16-webapp.tiktok.com/a4d026466491cb70fedad99a284134a7/621d598f/video/tos/alisg/tos-alisg-pve-0037/c66870514abc465e8af4747d5fffb8c2/?a=1988&br=2378&bt=1189&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3yCnz7ThF3acDXq&l=202202281723470102452441952640CD50&lr=tiktok&mime_type=video_mp4&net=0&pl=0&qs=0&rc=am86eDdlcGY8MzMzaDgzM0ApOTYzNWZoZTxlNzQ6Zzc5OWdwMS5iNm9eX25gLS02LzRzc2MxMS9gM141NjZjYi1gYl86Yw%3D%3D&vl=&vr=,6603312217973768194,binker21,Goodvibes only! 🥰
9,7046433378941406470,Western Union money Order / MOs available 🔥💯 #MoneyOrder #westernunion,1640625620,https://v16-webapp.tiktok.com/bfa7fecf4475a611b8a86afabc053eb9/621d5991/video/tos/useast2a/tos-useast2a-ve-0068c001/0de40d8d2ff54599971290923c7a768d/?a=1988&br=1188&bt=594&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=1&er=&ft=XOQ9-3yCnz7ThF3acDXq&l=202202281723470102452441952640CD50&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajl5NWg6Zm15OjMzNzczM0ApZDU7PDs7O2VoN2VmZTs8aWcxb3IycjRfXzFgLS1kMTZzc2JhYzRjLTBeYDVhNjAzNDQ6Yw%3D%3D&vl=&vr=,7046384051918406662,mark_s80,"🔥💰🤑

Telegram:- https://t.me/MarkSpender"
